experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,1,0.023542,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,2,0.026041,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,3,0.024375,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,4,0.026417,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,5,0.027416,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,6,0.028958,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,7,0.026167,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,8,0.026333,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,9,0.025875,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,0,10,0.023625,0.9018301836,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,1,0.025833,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,2,0.025375,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,3,0.02575,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,4,0.027042,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,5,0.025708,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,6,0.0275,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,7,0.024584,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,8,0.026084,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,9,0.025042,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,1,10,0.026083,1.265981129,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,1,0.027,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,2,0.026292,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,3,0.024292,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,4,0.025792,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,5,0.030709,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,6,0.024666,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,7,0.026541,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,8,0.026458,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,9,0.027083,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,10,12,5,2,10,0.027917,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,1,0.01375,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,2,0.013833,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,3,0.015833,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,4,0.013458,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,5,0.013708,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,6,0.013625,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,7,0.01225,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,8,0.015083,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,9,0.013542,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,0,10,0.01325,0.9018301836,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,1,0.008583,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,2,0.008792,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,3,0.008625,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,4,0.008625,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,5,0.0085,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,6,0.009541,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,7,0.008625,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,8,0.00925,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,9,0.008542,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,1,10,0.009166,1.265981129,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,1,0.01325,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,2,0.012917,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,3,0.01325,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,4,0.012708,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,5,0.01375,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,6,0.0125,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,7,0.012959,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,8,0.012417,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,9,0.012334,1.341254469,,,
e1_escalabilidad_n,bt,cpp,aleatoria,10,12,5,2,10,0.013291,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,1,0.002458,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,2,0.002459,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,3,0.002334,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,4,0.00225,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,5,0.002125,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,6,0.002375,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,7,0.002292,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,8,0.002083,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,9,0.002417,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,0,10,0.002292,0.9018301836,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,1,0.002291,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,2,0.001958,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,3,0.002,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,4,0.002041,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,5,0.002167,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,6,0.002125,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,7,0.002125,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,8,0.001958,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,9,0.00225,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,1,10,0.001917,1.265981129,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,1,0.002083,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,2,0.002042,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,3,0.002042,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,4,0.002042,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,5,0.002,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,6,0.001959,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,7,0.002166,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,8,0.001958,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,9,0.001958,1.341254469,,,
e1_escalabilidad_n,pd,cpp,aleatoria,10,12,5,2,10,0.001875,1.341254469,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,1,0.099584,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,2,0.099042,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,3,0.100125,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,4,0.110542,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,5,0.093042,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,6,0.114625,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,7,0.094583,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,8,0.096666,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,9,0.09275,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,0,10,0.098458,0.9178608337,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,1,0.118958,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,2,0.102417,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,3,0.092375,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,4,0.105375,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,5,0.126416,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,6,0.097708,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,7,0.102125,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,8,0.098333,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,9,0.096,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,1,10,0.111125,0.9831014648,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,1,0.09125,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,2,0.097958,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,3,0.09175,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,4,0.097833,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,5,0.091791,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,6,0.110375,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,7,0.106584,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,8,0.09225,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,9,0.091791,1.154818574,,,
e1_escalabilidad_n,fb,cpp,aleatoria,12,12,6,2,10,0.092291,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,1,0.019083,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,2,0.017625,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,3,0.018375,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,4,0.021875,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,5,0.01725,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,6,0.0175,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,7,0.021,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,8,0.018291,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,9,0.019208,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,0,10,0.0175,0.9178608337,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,1,0.007625,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,2,0.009167,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,3,0.008292,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,4,0.007917,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,5,0.00875,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,6,0.008167,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,7,0.008208,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,8,0.009292,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,9,0.009333,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,1,10,0.008208,0.9831014648,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,1,0.0125,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,2,0.012667,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,3,0.012083,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,4,0.013,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,5,0.011834,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,6,0.012125,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,7,0.013375,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,8,0.011792,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,9,0.01175,1.154818574,,,
e1_escalabilidad_n,bt,cpp,aleatoria,12,12,6,2,10,0.012417,1.154818574,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,1,0.002667,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,2,0.002708,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,3,0.002666,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,4,0.002666,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,5,0.002666,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,6,0.002375,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,7,0.002334,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,8,0.002708,0.9178608337,,,
e1_escalabilidad_n,pd,cpp,aleatoria,12,12,6,0,9,0.0025,0.9178608337,,,
