experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,1,0.035458,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,2,0.029875,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,3,0.031708,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,4,0.028042,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,5,0.026459,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,6,0.021166,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,7,0.025041,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,8,0.023375,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,9,0.019959,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,0,10,0.022583,0.9018301836,85,12,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,1,0.014458,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,2,0.012875,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,3,0.012417,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,4,0.012959,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,5,0.011708,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,6,0.011917,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,7,0.011167,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,8,0.012084,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,9,0.011208,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,1,10,0.01175,1.265981129,55,6,10
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,1,0.016458,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,2,0.015292,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,3,0.016209,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,4,0.015875,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,5,0.016291,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,6,0.014709,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,7,0.016208,1.341254469,81,12,9
e6_ablacion_podas,bt,cpp_ambas,aleatoria,10,12,5,2,8,0.01625,1.341254469,81,12,9
