experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,1,0.025042,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,2,0.024875,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,3,0.026625,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,4,0.027375,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,5,0.025667,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,6,0.026083,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,7,0.026584,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,8,0.026042,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,9,0.0285,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,0,10,0.0275,0.9018301836,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,1,0.025458,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,2,0.024666,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,3,0.026,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,4,0.03425,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,5,0.027292,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,6,0.0265,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,7,0.025875,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,8,0.027459,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,9,0.026334,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,1,10,0.026708,1.265981129,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,1,0.026958,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,2,0.0275,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,3,0.026542,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,4,0.02675,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,5,0.034042,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,6,0.027333,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,7,0.026416,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,8,0.025333,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,9,0.027,1.341254469,,,
e7_cpp_vs_python,fb,cpp,aleatoria,10,12,5,2,10,0.026375,1.341254469,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,1,0.4435,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,2,0.444083,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,3,0.44175,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,4,0.434291,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,5,0.460458,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,6,0.44225,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,7,0.436042,0.9018301836,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,0,8,0.435958,0.9018301836,,,
