experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,1,6120.474917,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,2,6212.057584,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,3,6178.925583,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,4,6127.243333,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,5,6227.979916,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,6,6118.594,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,7,6285.705583,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,8,6073.030375,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,9,6155.661917,0.4237022421,,,
e9_canciones_reales,fb,cpp,audio:libri1,27,12,20,0,10,6043.116708,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,1,0.1535,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,2,0.152958,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,3,0.162417,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,4,0.162125,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,5,0.172875,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,6,0.1555,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,7,0.137083,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,8,0.155417,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,9,0.159458,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:libri1,27,12,20,0,10,0.166709,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,1,0.006541,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,2,0.007042,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,3,0.00625,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,4,0.006625,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,5,0.006333,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,6,0.006792,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,7,0.007084,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,8,0.0065,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,9,0.006208,0.4237022421,,,
e9_canciones_reales,pd,cpp,audio:libri1,27,12,20,0,10,0.006625,0.4237022421,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,1,0.823208,0.2031962598,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,2,0.787,0.2031962598,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,3,0.806125,0.2031962598,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,4,0.780792,0.2031962598,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,5,0.801792,0.2031962598,,,
e9_canciones_reales,bt,cpp,audio:choice,57,12,43,0,6,0.842,0.2031962598,,,
